NAME,year,month,utility_name,total_disconnections,est_disconnections,avg_disconnection_rate,difference,PCT_DIF,mae,mape
"Ada County, Idaho",2019,January,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2018,August,Idaho Power,7,6.73396674584323,0.875,0.2660332541567696,-3.8004750593824226,0.2660332541567696,3.800475059382423
"Baker County, Oregon",2018,December,Idaho Power,2,1.9334916864608076,0.25,0.0665083135391924,-3.32541567695962,0.0665083135391924,3.32541567695962
"Baker County, Oregon",2018,November,Idaho Power,2,1.9334916864608076,0.25,0.0665083135391924,-3.32541567695962,0.0665083135391924,3.32541567695962
"Baker County, Oregon",2018,October,Idaho Power,3,2.800475059382423,0.375,0.19952494061757697,-6.650831353919233,0.19952494061757697,6.650831353919233
"Baker County, Oregon",2018,September,Idaho Power,1,0.9334916864608076,0.125,0.0665083135391924,-6.65083135391924,0.0665083135391924,6.65083135391924
"Baker County, Oregon",2019,April,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2019,August,Idaho Power,2,2,0.2222222222222222,0,0,0,0
"Baker County, Oregon",2019,December,Idaho Power,2,1.8669833729216152,0.2222222222222222,0.1330166270783848,-6.65083135391924,0.1330166270783848,6.65083135391924
"Baker County, Oregon",2019,February,Idaho Power,2,1.8669833729216152,0.25,0.1330166270783848,-6.65083135391924,0.1330166270783848,6.65083135391924
"Baker County, Oregon",2019,January,Idaho Power,5,4.866983372921615,0.625,0.13301662707838524,-2.660332541567705,0.13301662707838524,2.660332541567705
"Baker County, Oregon",2019,July,Idaho Power,4,3.800475059382423,0.4444444444444444,0.19952494061757697,-4.988123515439424,0.19952494061757697,4.988123515439424
"Baker County, Oregon",2019,June,Idaho Power,6,5.9301543801437635,0.6666666666666666,0.0698456198562365,-1.1640936642706083,0.0698456198562365,1.1640936642706081
"Baker County, Oregon",2019,March,Idaho Power,5,4.800475059382423,0.625,0.19952494061757697,-3.9904988123515395,0.19952494061757697,3.9904988123515395
"Baker County, Oregon",2019,May,Idaho Power,6,5.600950118764846,0.75,0.39904988123515395,-6.650831353919233,0.39904988123515395,6.650831353919233
"Baker County, Oregon",2019,November,Idaho Power,2,1.8669833729216152,0.2222222222222222,0.1330166270783848,-6.65083135391924,0.1330166270783848,6.65083135391924
"Baker County, Oregon",2019,October,Idaho Power,7,6.933491686460807,0.7777777777777778,0.06650831353919262,-0.9501187648456089,0.06650831353919262,0.9501187648456089
"Baker County, Oregon",2019,September,Idaho Power,3,2.800475059382423,0.3333333333333333,0.19952494061757697,-6.650831353919233,0.19952494061757697,6.650831353919233
"Baker County, Oregon",2020,February,Idaho Power,1,0.9334916864608076,0.1111111111111111,0.0665083135391924,-6.65083135391924,0.0665083135391924,6.65083135391924
"Baker County, Oregon",2020,January,Idaho Power,5,4.800475059382423,0.5555555555555556,0.19952494061757697,-3.9904988123515395,0.19952494061757697,3.9904988123515395
"Baker County, Oregon",2020,March,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2021,August,Cascade Natural Gas,41,40.7368284265569,20.5,0.2631715734431026,-0.6418818864465917,0.2631715734431026,0.6418818864465917
"Baker County, Oregon",2021,August,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2021,December,Cascade Natural Gas,0,0,0,0,0,0,0
"Baker County, Oregon",2021,December,Idaho Power,1,1,0.1111111111111111,0,0,0,0
"Baker County, Oregon",2021,November,Cascade Natural Gas,5,4.98331346841478,2.5,0.016686531585220266,-0.3337306317044053,0.016686531585220266,0.3337306317044053
"Baker County, Oregon",2021,November,Idaho Power,0,0,0,0,0,0,0
