NAME,year,month,utility_name,total_disconnections,est_disconnections,avg_disconnection_rate,difference,PCT_DIF,mae,mape
"Inyo County, California",2023,Mar,Southern California Edison,3,2.7285416921758294,3,0.2714583078241706,-9.048610260805686,0.2714583078241706,9.048610260805685
"Inyo County, California",2023,May,Southern California Edison,15,13.823680666095262,5,1.176319333904738,-7.842128892698253,1.176319333904738,7.842128892698254
"Inyo County, California",2023,Oct,Southern California Edison,1,0.9095138973919432,1,0.09048610260805678,-9.048610260805678,0.09048610260805678,9.048610260805678
"Inyo County, California",2024,Apr,Southern California Edison,12,11.185625076527488,4,0.8143749234725117,-6.786457695604265,0.8143749234725117,6.786457695604264
"Inyo County, California",2024,Mar,Southern California Edison,15,13.823680666095262,7.5,1.176319333904738,-7.842128892698253,1.176319333904738,7.842128892698254
"Inyo County, California",2024,May,Southern California Edison,6,5.457083384351659,6,0.5429166156483411,-9.048610260805686,0.5429166156483411,9.048610260805685
"Kern County, California",2018,Aug,Southern California Edison,809,796.7422960574509,38.523809523809526,12.257703942549142,-1.5151673600184354,12.257703942549142,1.5151673600184352
"Kern County, California",2018,Dec,Southern California Edison,370,363.398953096873,17.61904761904762,6.601046903126985,-1.7840667305748608,6.601046903126985,1.7840667305748608
"Kern County, California",2018,Nov,Southern California Edison,721,709.7845335771736,34.333333333333336,11.215466422826353,-1.5555431931797992,11.215466422826353,1.5555431931797992
"Kern County, California",2018,Oct,Southern California Edison,1077,1060.5947164479087,51.285714285714285,16.405283552091305,-1.5232389556259336,16.405283552091305,1.5232389556259336
"Kern County, California",2018,Sep,Southern California Edison,855,841.671893450042,40.714285714285715,13.328106549957965,-1.558842871340113,13.328106549957965,1.558842871340113
"Kern County, California",2019,Apr,Southern California Edison,5,5,5,0,0,0,0
"Kern County, California",2019,Aug,Southern California Edison,52,51.13973683242001,8.666666666666666,0.860263167579987,-1.6543522453461288,0.860263167579987,1.6543522453461288
"Kern County, California",2019,Dec,Southern California Edison,0,0,0,0,0,0,0
"Kern County, California",2019,Feb,Southern California Edison,47,47,6.714285714285714,0,0,0,0
"Kern County, California",2019,Jan,Southern California Edison,3,2.8972174900624648,0.75,0.10278250993753524,-3.426083664584508,0.10278250993753524,3.426083664584508
"Kern County, California",2019,Jul,Southern California Edison,2,2,1,0,0,0,0
"Kern County, California",2019,Jun,Southern California Edison,0,0,0,0,0,0,0
"Kern County, California",2019,Mar,Southern California Edison,120,116.62971959739605,3.2432432432432434,3.370280402603953,-2.8085670021699607,3.370280402603953,2.8085670021699607
"Kern County, California",2019,May,Southern California Edison,5,5,1.6666666666666667,0,0,0,0
"Kern County, California",2019,Nov,Southern California Edison,18,16.972174900624644,1.8,1.027825099375356,-5.710139440974199,1.027825099375356,5.7101394409742
"Kern County, California",2019,Oct,Southern California Edison,39,37.972174900624644,3.25,1.027825099375356,-2.635448972757323,1.027825099375356,2.635448972757323
"Kern County, California",2019,Sep,Southern California Edison,26,25.13450292397661,2.6,0.8654970760233915,-3.328834907782275,0.8654970760233915,3.328834907782275
"Kern County, California",2020,Feb,Southern California Edison,638,629.9695567588864,30.38095238095238,8.03044324111363,-1.2586901631839547,8.03044324111363,1.2586901631839544
"Kern County, California",2020,Jan,Southern California Edison,422,414.7184929231732,20.095238095238095,7.281507076826813,-1.7254756106224676,7.281507076826813,1.7254756106224673
"Kern County, California",2020,Mar,Southern California Edison,292,287.0422487656644,13.904761904761905,4.957751234335603,-1.6978600117587683,4.957751234335603,1.6978600117587683
"Kern County, California",2022,Dec,Southern California Edison,2,1.9635782303468408,0.0625,0.03642176965315924,-1.821088482657962,0.03642176965315924,1.821088482657962
"Kern County, California",2022,Nov,Southern California Edison,0,0,0,0,0,0,0
"Kern County, California",2023,Apr,Southern California Edison,305,300.2153602216785,14.523809523809524,4.784639778321491,-1.5687343535480298,4.784639778321491,1.5687343535480298
"Kern County, California",2023,Dec,Southern California Edison,9,8.9865162664921,1.2857142857142858,0.013483733507900553,-0.14981926119889502,0.013483733507900553,0.14981926119889505
"Kern County, California",2023,Feb,Southern California Edison,34,33.340530211967085,3.4,0.659469788032915,-1.9396170236262207,0.659469788032915,1.9396170236262205
"Kern County, California",2023,Jan,Southern California Edison,6,5.96113503367561,3,0.03886496632438963,-0.6477494387398272,0.03886496632438963,0.647749438739827
"Kern County, California",2023,June,Southern California Edison,40,39.56294893564226,3.3333333333333335,0.437051064357739,-1.0926276608943475,0.437051064357739,1.0926276608943475
"Kern County, California",2023,Mar,Southern California Edison,127,125.31120215351834,7.055555555555555,1.6887978464816626,-1.3297620838438289,1.6887978464816626,1.3297620838438289
"Kern County, California",2023,May,Southern California Edison,251,246.88343850274168,12.55,4.116561497258317,-1.640064341537178,4.116561497258317,1.640064341537178
"Kern County, California",2023,Nov,Southern California Edison,12,11.980567516837805,2,0.019432483162194814,-0.1619373596849568,0.019432483162194814,0.16193735968495676
